"id","name"
12,"Strenuus"
26,"Mercer"
29,"Florida Blue"
30,"Humana"
31,"UnitedHealthcare (UHC)"
33,"Wellmark BCBS"
34,"Mutual of Omaha"
35,"Bluegrass Family Health"
36,"BCBS Tennessee"
37,"PacificSource"
39,"Coventry of Kansas"
40,"Beech Street"
41,"Blue Shield of CA"
42,"CIGNA"
43,"Trinity Health"
45,"1st Medical Network"
48,"Carefirst BCBS"
49,"GEHA"
50,"HAP"
51,"Aetna"
52,"PPOM"
53,"Health Net"
54,"BCBS Georgia"
56,"BCBS Rhode Island"
57,"Altius"
58,"BCBS Association"
59,"Interplan Health Group"
60,"Regence BCBS"
62,"Amerigroup"
63,"LexisNexis"
64,"Capital District PHP (CDPHP)"
65,"HCSC"
66,"Trustmark"
67,"BCBS North Carolina"
68,"Quest Analytics"
69,"HealthPlus of Michigan"
70,"BCBS Arizona"
72,"Highmark BCBS"
73,"BCBS of Massachusetts"
75,"NationsHealth"
76,"Anthem OH"
78,"Horizon BCBS"
81,"Med Advantage"
82,"Medical Mutual of Ohio (MMOH)"
83,"BCBS New Mexico"
84,"Emblem Health"
85,"Excellus BlueCross BlueShield"
86,"Harvard Pilgrim"
87,"Empire BCBS"
88,"Premera BCBS"
91,"MetLife"
92,"Independence Blue Cross"
95,"Anthem Dental"
96,"Word & Brown"
97,"WellPath"
98,"Group Health Plan"
99,"Coventry Health Care of Illinois, Inc."
100,"Amerihealth"
101,"Delta Dental"
102,"BCBSM"
103,"HealthPartners of MN"
105,"Consortium Health Plans"
106,"Coventry of Nebraska"
107,"HealthGrades"
108,"HealthAmerica"
109,"Premier Access"
110,"Anthem of CT"
111,"BCBS Oklahoma"
112,"Carelink"
113,"BCBS Nebraska"
114,"Coventry"
116,"Leavitt"
117,"NovaNet"
118,"Tenet Healthcare"
119,"Molina"
120,"Alliant Insurance"
121,"BCBS Texas"
122,"First Health"
123,"Concentra"
124,"Presscott Associates"
128,"Lockton"
129,"Mercy Health Plans"
131,"AvMed"
132,"Healthcare.com"
133,"Viant"
134,"Geisinger/The Health Plan"
136,"Delta Dental Association"
137,"Guardian Life"
138,"Broker"
140,"HealthMarkets"
142,"Ameritas Life Insurance Corp."
143,"World Research Group"
144,"Anthem Virginia"
145,"BCBS of Missouri"
146,"BCBS Wisconsin"
147,"BCBS of Illinois"
148,"Multiplan"
149,"Capital BlueCross"
150,"BCBS of Minnesota"
151,"Connecticare"
152,"BCBS of Kansas"
153,"BCBS of Kansas City"
154,"Blue Cross of Idaho"
155,"Kaiser Washington"
156,"Blue Cross of California"
157,"UniCare"
159,"Presbyterian Health Plan"
160,"PHCS"
163,"Point32"
165,"CCN"
167,"First Choice Health Network"
168,"Providence Health Plans"
169,"PreferredOne"
172,"Lifewise WA"
173,"EyeMed Vision Care"
175,"Alegent Health"
176,"BCBS of South Carolina"
178,"Milliman"
179,"Delta Dental of Missouri"
180,"Delta Dental of Illinois"
181,"Delta Dental of Nebraska"
182,"Midlands Choice"
183,"Regence Blue Shield"
184,"Delta Dental of the Mid-Atlantic"
186,"Priority Health"
187,"Fallon Community Health Plan"
190,"Preferred Care"
191,"BlueShield of NE New York"
192,"HealthNow"
193,"BCBS Western New York"
194,"Schaller Anderson"
195,"Medata"
196,"MVP Health Care"
197,"Southern Health"
198,"Coventry of Delaware"
199,"Coventry of Louisiana"
200,"OmniCare"
201,"Coventry of Oklahoma"
202,"Coventry of Georgia"
203,"ppoNEXT"
204,"Universal Health Network"
205,"Neighborhood Health Plan"
206,"Neighborhood Health Plan of Rhode Island"
207,"Asuris Northwest Health"
208,"BCBS of Alabama"
209,"Castle Connolly"
210,"BCBS of Louisiana"
211,"BCBS of Arkansas (BCBS AR)"
212,"BCBS of Mississippi"
214,"HealthSmart"
215,"Ball-Peoples"
216,"US Health Group"
217,"Arizona Foundation for Medical Care"
219,"Guardian Dental"
221,"UHC Community and State"
222,"UHC Medicare and Retirement"
223,"Warner Pacific"
224,"Parkview"
230,"Doctor Evidence"
232,"Frost Insurance Agency"
233,"DenteMax"
234,"Black, Gould & Assoc"
240,"Treo Solutions"
243,"Kaiser Permanente"
247,"ODS"
248,"Community Health Group"
249,"Health Alliance Medical Plans"
250,"HealthSparq"
251,"New Jersey Education Association"
256,"Magellan Health Services"
257,"Market360 Client"
258,"Bravo Health"
259,"Health New England"
261,"Schumacher and Walker"
262,"Vermont Managed Care"
263,"Lovelace"
264,"Sharp Health Plan"
266,"Employee Benefit Solutions"
267,"MagnaCare"
268,"Alight"
269,"Cambia Health Solutions"
270,"Dental Select"
271,"Regence BlueShield of Idaho"
272,"Regence BCBS of Utah"
273,"Virginia Health Network"
274,"Corporate Synergies Group"
275,"Ancillary Care Services"
276,"American CareSource Holdings"
277,"Texas True Choice"
280,"HealthLink"
281,"LA Care"
282,"QualCare"
283,"Centene"
284,"Independent Health"
286,"Physicians Plus Insurance Corporation"
287,"Hometown Health"
288,"New West Health Services, Inc."
289,"Physicians Health Plan of Mid-Michigan"
290,"ProviDRs Care Network"
291,"Fortified Provider Network, Inc."
292,"HealthyStart"
293,"Care1st Health Plan"
294,"AlohaCare"
295,"Anthem Colorado"
296,"The i/mx Companies, Inc."
297,"Premier WorkComp Management"
299,"HealthCare Insight"
300,"Martin's Point Health Care"
301,"Unum"
302,"Mark Farrah Associates"
303,"HealthSpring"
304,"Chinese Community Health Plan"
305,"Inland Empire Health Plan"
306,"Idaho Physicians Network"
307,"UCare Minnesota"
308,"Sedgwick CMS"
309,"Principal Financial Group"
311,"Blue Cross Blue Shield of North Dakota"
312,"HealthEOS"
313,"CommunityCare Oklahoma"
314,"Community Care, Inc. - Wisconsin"
315,"Rocky Mountain Health Plans"
316,"Delta Dental of California"
317,"Delta Dental of New Jersey"
318,"Health Partners (PA)"
321,"OneNet PPO"
322,"SuperMed"
323,"CIGNA Behavioral Health"
324,"BenefitMall"
326,"Delta Dental of Michigan"
327,"Midwestern Dental Plan"
328,"SVS Vision"
329,"AudioNet"
330,"Medco"
331,"TheraMatrix"
332,"Univera Healthcare"
333,"Advantage Health"
334,"MercyCare Health Plan"
335,"HealthCare Partners"
336,"Sentara Health Plans, Inc."
337,"Unity Health Insurance"
338,"MedCost"
339,"Assurant Health"
340,"Gateway Health Plan"
341,"First Dental Health"
343,"CareSource"
344,"Coventry of Florida"
348,"IQVIA"
356,"Scott and White Health Plan"
359,"GENEX Services, Inc."
360,"Devon Health Services, Inc."
361,"Federated Insurance"
362,"Healthcare Data Solutions"
363,"eHealth, Inc."
364,"Health Plan of San Joaquin"
365,"HEOPS, Inc."
367,"Conduent"
370,"Lewin Group"
371,"KnowledgeBase Marketing"
372,"Affinity Health Plan"
373,"Blue Care Network of Michigan"
374,"Austin & Co., Inc."
375,"Emerson, Reid & Co."
376,"Alliant Health Plans"
377,"MMSI"
379,"NFP Corporate Services"
382,"XLHealth"
383,"Johnson Insurance"
384,"Aveta"
385,"Medica"
386,"Everyday Health"
389,"VSP"
390,"Co-Optical"
391,"Take Care Asia"
392,"Hawaii Medical Service Association"
393,"Delta Dental of Virginia"
394,"Caremark"
395,"Owensboro Community Health Network (OCHN)"
396,"Century Health Solutions, Inc."
397,"Dean Care"
398,"Oswald Companies"
399,"Humana Dental"
400,"Ambrose Employer Group, LLC"
401,"Wellcare Health Plan"
403,"CompBenefits Corporation"
404,"PPOplus"
405,"Express Scripts"
408,"First Choice of the Midwest, Inc."
409,"Mississippi Physicians Care Network (MPCN)"
410,"Washington Dental Service"
413,"Citrus Health Care"
414,"ESSENCE Healthcare"
415,"Hudson Health Plan"
416,"OptumRx"
417,"Employee Benefit Management Services"
419,"DGS Benefits"
420,"BCBS of Vermont"
421,"BCBS of Montana"
423,"Careington"
424,"Select Health of SC"
425,"Superior Health Plan"
426,"Castlight Health"
427,"New Directions Behavioral Health"
428,"Simply Healthcare Plans"
429,"Managed Health Network"
430,"Highmark BCBS of Delaware"
431,"Gallagher Benefit Services"
433,"America's PPO"
434,"GlobalCare, Inc."
435,"The StoneEagle Group"
436,"4MOST Health Network"
437,"Prominence Health Plan"
438,"Crawford Advisors, LLC"
439,"Delta Dental of Colorado"
440,"BCBS of North Dakota"
442,"Sierra Health Services"
443,"Arise Health Plan"
444,"BCBS of Wyoming"
445,"Availty"
446,"PPO USA"
447,"Healthplex"
448,"Spectera"
449,"Arkansas Managed Care Organization"
451,"Avera Health Plans"
453,"Baptist Health Services Group"
455,"AmeriHealth Caritas"
456,"MedTrak Services, LLC"
457,"1-800-DENTIST"
458,"Everence Financial"
459,"Oxford Health Plans"
461,"UHC E&I"
462,"Delta Dental of Wisconsin"
463,"Dental Network of America"
464,"Wortham Insurance & Risk Management"
465,"UHC Dental"
